"id","AREA_5000","CIUDAD_AUTO","PROVINCIA","REGION","ZONA","VIVIENDA","PERIODO","TIPO_VI","JEFEHOGAR"
"22643","Urbano","NA","Pichincha","Sierra","904","8","Sep-14","Casa / villa","NA"
"22644","Urbano","NA","Pichincha","Sierra","904","9","Sep-14","Mediagua","NA"
"22645","Urbano","NA","Pichincha","Sierra","904","10","Sep-14","Casa / villa","Jefe de hogar"
"22646","Urbano","NA","Pichincha","Sierra","904","11","Sep-14","Casa / villa","Jefe(a) y cónyuge"
"22647","Urbano","NA","Pichincha","Sierra","904","12","Sep-14","Casa / villa","Jefe de hogar"
"22648","Rural","NA","Pichincha","Sierra","999","1","Dec-13","Departamento en casa o edificio","NA"
"22649","Rural","NA","Pichincha","Sierra","999","2","Dec-13","Departamento en casa o edificio","NA"
"22650","Rural","NA","Pichincha","Sierra","999","3","Dec-13","Casa / villa","NA"
"22651","Rural","NA","Pichincha","Sierra","999","4","Dec-13","Departamento en casa o edificio","NA"
"22652","Rural","NA","Pichincha","Sierra","999","5","Dec-13","Departamento en casa o edificio","NA"
"22653","Rural","NA","Pichincha","Sierra","999","6","Dec-13","Casa / villa","Jefe de hogar"
"22654","Rural","NA","Pichincha","Sierra","999","7","Dec-13","Departamento en casa o edificio","NA"
"22655","Rural","NA","Pichincha","Sierra","999","8","Dec-13","Departamento en casa o edificio","Jefe de hogar"
"22656","Rural","NA","Pichincha","Sierra","999","9","Dec-13","Casa / villa","NA"
"22657","Rural","NA","Pichincha","Sierra","999","10","Dec-13","Casa / villa","NA"
"22658","Rural","NA","Pichincha","Sierra","999","11","Dec-13","Departamento en casa o edificio","Jefe de hogar"
"22659","Rural","NA","Pichincha","Sierra","999","12","Dec-13","Mediagua","NA"
"22660","Urbano","NA","Pichincha","Sierra","1","1","Dec-13","Casa / villa","Jefe de hogar"
"22661","Urbano","NA","Pichincha","Sierra","1","2","Dec-13","Departamento en casa o edificio","NA"
"22662","Urbano","NA","Pichincha","Sierra","1","3","Dec-13","Departamento en casa o edificio","Jefe de hogar"
